name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,usersrated,average,bayesaverage,ranks/rank,owned,averageweight,numweights
Scary Tales: Prince Charming vs. Hansel,2010,2,2,20,20,20,13,51,5.83922,5.50892,12167,156,1.6667,6
Hochstapler,2009,3,7,20,20,20,8,103,5.53398,5.50116,12861,166,1.3077,13
Monkeyland,2011,2,5,15,15,15,5,41,5.71951,5.50783,12268,59,1.1111,9
Invasion of the Garden Gnomes,2017,2,5,30,30,30,14,4,7.5,0,Not Ranked,3,0,0
Pyramido,1991,2,4,20,20,20,8,11,6.73636,0,Not Ranked,20,1.5,2
Catena,1992,2,4,20,20,20,10,14,5.78571,0,Not Ranked,26,1.6,5
Motto,2015,2,4,30,20,30,8,50,5.468,5.49862,13058,48,1.5,2
Sokrates,1994,2,4,20,20,20,8,25,5.06,0,Not Ranked,67,1.5,4
Noah's Ark,1999,2,4,10,10,10,5,5,5.6,0,Not Ranked,15,0,0
Bello,2007,2,8,5,5,5,0,34,5.23529,5.49212,13539,74,1,5
Long Live The Revolution!,2010,3,5,10,10,10,8,59,5.73051,5.51123,11945,99,1.2222,9
Bandito,2002,2,2,0,0,0,5,4,4.5,0,Not Ranked,16,0,0
Pan tu nie stał! Demoludy,2015,3,5,30,30,30,10,79,5.34304,5.48605,13903,118,1.3333,3
Prisma,1991,2,2,20,20,20,10,7,4.97143,0,Not Ranked,27,1,1
The Hobbit: An Unexpected Journey – Das Kartenspiel,2012,2,4,30,30,30,8,28,5.62393,0,Not Ranked,62,2,2
Chaos in the Kids' Room,2006,2,6,10,10,10,4,38,5.96053,5.51527,11584,83,1,3
Wiener Walzer,2016,2,5,45,45,45,8,35,6.30571,5.52337,10830,50,0,0
Take It!,2007,2,5,15,15,15,8,35,5.75714,5.50787,12266,59,1.1667,6
SuDoku Hex!,2006,1,4,15,15,15,10,21,5.5619,0,Not Ranked,30,1.5,4
Wir gehen einkaufen,2006,2,4,10,10,10,3,11,5.95455,0,Not Ranked,23,1,2
Krabbel-Trabbel,2005,2,4,15,15,15,6,15,5.98,0,Not Ranked,42,1,2
Fleet Fins,2003,2,4,10,10,10,4,17,6.33529,0,Not Ranked,39,1,2
Der kleine Sprechdachs,2006,2,5,15,15,15,5,18,5.30556,0,Not Ranked,40,1,3
Neue Taktikspiele mit Würfeln und Karten,1990,2,6,0,0,0,8,12,6.33333,0,Not Ranked,20,0,0
Einfach Genial Junior,2007,1,4,30,30,30,6,15,5.93333,0,Not Ranked,32,1,1
Hot Potatoes,2002,2,6,20,20,20,6,11,4.8,0,Not Ranked,17,1,2
Flotte Flitzer,2006,2,6,25,25,25,7,27,4.89074,0,Not Ranked,81,1.3333,3
Sudoku Challenge,2006,1,4,20,20,20,7,29,4.68966,0,Not Ranked,67,1.5,6
Azteken Schatz,2006,2,5,20,20,20,8,25,5.06,0,Not Ranked,69,2,2
Run,1993,2,2,30,30,30,0,10,6.1,0,Not Ranked,25,0,0
Zwergenkönig,2002,2,4,10,10,10,4,2,4.75,0,Not Ranked,17,0,0
Yo! Marvel Heroes,2007,2,4,30,30,30,0,6,5.4,0,Not Ranked,13,1,2
Keltis Ór,2012,2,4,20,20,20,8,59,6.3322,5.52762,10435,9,2,4
